Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
1854.33,34484.67,22681.95,1554.52,766.78,86176.56,416.0,63454.42,647.17,122.02,2048.66,646.63,216439.73999999996,39.29,431.93,66.29,1048.52,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
539.24,53928.46,5751.08,660.14,636.4,200529.69,1262.96,48217.71,1130.75,176.35,336.69,623.15,314918.52,0,553.51,88.02,484.37,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
2108.26,10529.74,4793.3,1377.81,10087.07,127383.24,17280.11,37664.36,776.73,799.05,4417.69,742.38,219884.61,0,940.75,315.88,668.24,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
2878.25,80759.71,33585.57,2575.78,17401.06,66396.42,1746.29,54784.71,2141.46,1316.93,927.87,1445.2,269604.05000000005,154.28,1407.4,355.67,1727.45,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
3699.0,59112.52,4488.27,2840.95,630.33,148220.07,2442.39,27966.32,403.9,78.62,1584.62,262.47,253326.27,37.58,244.83,44.25,1270.15,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
1054.22,31732.91,1596.65,1421.99,582.03,208794.24,9232.7,27406.13,314.3,76.93,1230.88,532.05,286376.22,0,962.8,299.96,1138.43,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
7192.23,134426.65,56291.96,3291.32,534.25,92528.45,1554.54,77699.07,700.83,169.34,3609.09,535.12,380824.94999999995,28.93,384.23,67.45,1811.49,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
73.07,25487.94,5143.86,285.39,57.74,212761.85,6588.9,37917.97,1372.63,50.22,553.25,1509.39,295218.71,0,2031.0,456.79,928.71,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
2622.11,67997.35,41270.33,3723.48,672.06,167989.89,18577.31,74692.37,5560.9,5499.37,18663.39,4113.77,423891.2899999999,53.41,9110.7,2353.17,991.68,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
8802.16,41597.76,12452.84,3714.38,296.93,82799.36,1530.89,88135.09,1427.1,4895.81,5414.4,1135.66,254797.05000000002,29.24,1003.5,339.11,1222.82,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
4049.05,26687.15,26132.63,1396.07,1227.69,27323.35,2157.69,71031.63,1833.45,3096.61,12494.58,2519.21,184649.35,312.12,1967.6,559.24,1861.28,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
